Section_Id,Book_Id,Chunk_Id,Chunk_Letters,Chunk_Words,Chunk_Approx_Tokens
Book01_011,1,1,1,1,1
Book01_013,1,1,1,1,1
Book01_015,1,1,1,1,1
Book01_016,1,1,1,1,1
Book01_018,1,1,1,1,1
Book01_023,1,1,1,1,1
Book01_027,1,1,1,1,1
Book01_036,1,1,1,1,1
Book01_040,1,1,1,1,1
Book01_045,1,1,1,1,1
Book01_053,1,1,1,1,1
Book01_060,1,1,1,1,1
Book01_065,1,1,1,1,1
Book01_068,1,1,1,1,1
Book01_076,1,1,1,1,1
Book01_080,1,1,1,1,1
Book01_095,1,1,1,1,1
Book01_101,1,1,1,1,1
Book01_102,1,1,1,1,1
Book01_113,1,1,1,1,1
Book01_115,1,1,1,1,1
Book01_118,1,1,1,1,1
Book01_129,1,1,1,1,1
Book01_133,1,1,1,1,1
Book01_143,1,1,1,1,1
Book01_146,1,1,1,1,1
Book01_168,1,1,1,1,1
Book01_171,1,1,1,1,1
Book01_186,1,1,1,1,1
Book01_189,1,1,1,1,1
Book01_210,1,1,1,1,1
Book01_226,1,1,1,1,1
Book01_237,1,1,1,1,1
Book02_021,1,1,1,1,1
Book02_025,1,1,1,1,1
Book02_028,1,1,1,1,1
Book02_032,1,1,1,1,1
Book02_039,1,1,1,1,1
Book02_044,1,1,1,1,1
Book02_053,1,1,1,1,1
Book02_056,1,1,1,1,1
Book02_059,1,1,1,1,1
Book02_062,1,1,1,1,1
Book02_073,1,1,1,1,1
Book03_002,2,2,2,2,2
Book03_003,1,1,1,1,1
Book03_004,1,1,1,1,1
Book03_005,1,1,1,1,1
Book03_006,1,1,1,1,1
Book03_007,1,1,1,1,1
Book03_008,1,1,1,1,1
Book03_009,1,1,1,1,1
Book03_010,1,1,1,1,1
Book03_011,2,2,2,2,2
Book03_012,1,1,1,1,1
Book03_013,1,1,1,1,1
Book03_014,1,1,1,1,1
Book03_015,1,1,1,1,1
Book03_016,1,1,1,1,1
Book03_017,1,1,1,1,1
Book03_018,1,1,1,1,1
Book03_019,1,1,1,1,1
Book03_021,1,1,1,1,1
Book03_023,1,1,1,1,1
Book03_024,1,1,1,1,1
Book03_025,1,1,1,1,1
Book03_026,1,1,1,1,1
Book03_028,1,1,1,1,1
Book03_034,1,1,1,1,1
Book03_035,1,1,1,1,1
Book03_037,2,2,2,2,2
Book03_038,1,1,1,1,1
Book03_039,1,1,1,1,1
Book03_040,1,1,1,1,1
Book03_043,1,1,1,1,1
Book03_044,1,1,1,1,1
Book03_045,1,1,1,1,1
Book03_046,1,1,1,1,1
Book03_047,1,1,1,1,1
Book03_048,1,1,1,1,1
Book03_049,1,1,1,1,1
Book03_050,1,1,1,1,1
Book03_052,1,1,1,1,1
Book03_053,1,1,1,1,1
Book03_054,1,1,1,1,1
Book03_055,1,1,1,1,1
Book03_056,1,1,1,1,1
Book03_058,1,1,1,1,1
Book03_059,1,1,1,1,1
Book03_060,1,1,1,1,1
Book03_061,1,1,1,1,1
Book03_062,1,1,1,1,1
Book03_063,1,1,1,1,1
Book03_064,2,2,2,2,2
Book03_065,1,1,1,1,1
Book03_066,1,1,1,1,1
Book03_067,1,1,1,1,1
Book03_068,1,1,1,1,1
Book03_070,1,1,1,1,1
Book03_071,1,1,1,1,1
Book03_073,1,1,1,1,1
Book03_074,1,1,1,1,1
Book03_075,1,1,1,1,1
Book03_077,1,1,1,1,1
Book03_078,1,1,1,1,1
Book03_079,1,1,1,1,1
Book03_080,1,1,1,1,1
Book03_081,1,1,1,1,1
Book03_083,1,1,1,1,1
Book03_085,2,2,2,2,2
Book03_086,1,1,1,1,1
Book03_087,1,1,1,1,1
Book03_088,1,1,1,1,1
Book03_089,1,1,1,1,1
Book03_090,1,1,1,1,1
Book03_091,1,1,1,1,1
Book03_092,1,1,1,1,1
Book03_093,1,1,1,1,1
Book03_094,1,1,1,1,1
Book03_095,1,1,1,1,1
Book03_096,1,1,1,1,1
Book03_097,1,1,1,1,1
Book03_098,1,1,1,1,1
Book03_099,1,1,1,1,1
Book03_100,1,1,1,1,1
Book03_101,1,1,1,1,1
Book03_102,1,1,1,1,1
Book03_103,1,1,1,1,1
Book03_104,1,1,1,1,1
Book03_105,1,1,1,1,1
Book03_106,1,1,1,1,1
Book03_107,1,1,1,1,1
Book03_108,1,1,1,1,1
Book03_109,1,1,1,1,1
Book03_110,2,2,2,2,2
Book03_111,1,1,1,1,1
Book03_112,1,1,1,1,1
Book03_113,1,1,1,1,1
Book03_115,1,1,1,1,1
Book03_116,1,1,1,1,1
